Date,Total_Screen_Time,Productive_Screen_Time,Non_Productive_Screen_Time,Productivity_Score
2025-03-11,9.75,2.86,6.88,7.5
2025-03-12,9.97,4.52,5.45,9.4
2025-03-13,8.65,2.77,5.88,7.8
2025-03-14,11.37,3.77,7.6,8.0
2025-03-15,8.3,3.54,4.75,9.1
2025-03-16,8.3,2.53,5.77,7.7
2025-03-17,9.36,1.09,8.28,5.4
2025-03-18,6.41,2.44,3.97,8.6
2025-03-19,7.48,3.31,4.17,9.3
2025-03-20,7.64,1.59,6.05,6.5
2025-03-21,11.2,2.77,8.42,7.0
2025-03-22,9.1,1.58,7.53,6.1
2025-03-23,8.18,3.11,5.07,8.6
2025-03-24,7.27,3.38,3.9,9.6
2025-03-25,8.1,2.71,5.39,8.0
2025-03-26,8.1,4.85,3.25,10.0
2025-03-27,8.98,1.94,7.04,6.6
2025-03-28,10.23,1.78,8.45,6.1
2025-03-29,9.31,1.04,8.27,5.3
2025-03-30,7.01,3.2,3.81,9.5
2025-03-31,10.11,3.17,6.94,7.8
2025-04-01,8.83,2.7,6.13,7.7
2025-04-02,6.78,2.28,4.5,8.0
2025-04-03,8.31,4.06,4.25,9.9
2025-04-04,9.52,1.24,8.28,5.6
2025-04-05,9.49,2.61,6.87,7.3
2025-04-06,7.98,3.61,4.37,9.4
2025-04-07,10.55,3.93,6.62,8.5
2025-04-08,7.74,2.69,5.05,8.2
2025-04-09,9.5,3.98,5.52,9.0
2025-04-10,8.28,2.81,5.47,8.1
2025-04-11,7.34,1.8,5.54,6.9
2025-04-12,10.22,4.36,5.86,9.1
2025-04-13,8.89,4.0,4.89,9.4
2025-04-14,9.54,2.35,7.19,7.0
2025-04-15,9.54,4.54,5.0,9.7
2025-04-16,8.95,4.56,4.38,10.0
2025-04-17,5.07,3.82,1.25,10.0
2025-04-18,9.13,2.7,6.43,7.5
2025-04-19,9.14,1.01,8.13,5.3
2025-04-20,8.67,3.36,5.31,8.6
2025-04-21,11.22,2.48,8.74,6.7
2025-04-22,7.79,2.5,5.29,7.8
2025-04-23,10.37,3.33,7.04,7.9
2025-04-24,8.21,3.51,4.69,9.1
2025-04-25,9.15,3.97,5.18,9.2
